Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,49.151428,50.331429,45.661430,46.742859,46.742859,57527400
2015-01-08,47.119999,48.020000,45.264286,46.320000,46.320000,70730800
2015-01-15,46.547142,59.240002,45.844288,58.468571,58.468571,138819100
2015-01-22,58.571430,65.339996,57.828571,63.208572,63.208572,130517800
2015-01-29,63.204285,65.467140,61.955715,64.101433,64.101433,70224700
2015-02-05,64.541428,66.141426,62.637142,64.984283,64.984283,60692100
2015-02-12,65.058571,68.070000,64.451431,67.865715,67.865715,42920500
2015-02-19,67.857140,68.794289,67.142860,68.332855,68.332855,41815200
2015-02-26,68.625717,69.500000,66.182854,67.110001,67.110001,57436400
2015-03-05,67.428574,67.464287,61.982857,62.884285,62.884285,77414400
2015-03-12,63.347141,64.582855,59.299999,60.445713,60.445713,84674800
2015-03-19,60.459999,63.098572,60.244286,60.250000,60.250000,71297100
2015-03-26,59.628571,60.564285,58.572857,59.017143,59.017143,74052300
2015-04-02,59.071430,63.107143,58.464287,63.049999,63.049999,52899700
2015-04-09,63.000000,69.285713,62.114285,67.922859,67.922859,151429600
2015-04-16,76.000000,82.304283,75.714287,79.668571,79.668571,221589200
2015-04-23,79.655716,81.785713,78.955711,80.407143,80.407143,57340500
2015-04-30,80.237144,82.442856,78.894287,80.077141,80.077141,66059700
2015-05-07,80.114288,84.857140,79.457146,82.872856,82.872856,70994700
2015-05-14,83.285713,89.785713,82.330002,88.790001,88.790001,92621900
2015-05-21,89.081429,89.907143,87.785713,89.857140,89.857140,40385800
2015-05-28,89.714287,90.205711,87.944283,88.808571,88.808571,44226700
2015-06-04,88.378571,98.970001,88.042854,95.871429,95.871429,111993700
2015-06-11,96.889999,96.918571,91.658569,94.271431,94.271431,81904200
2015-06-18,94.651428,100.891426,93.821426,96.944283,96.944283,138275200
2015-06-25,95.481430,96.000000,91.117142,93.635712,93.635712,128093700
2015-07-02,93.998573,95.427139,92.284286,93.507141,93.507141,57425200
2015-07-09,94.900002,102.308571,94.285713,98.129997,98.129997,122208000
2015-07-16,111.019997,117.879997,107.680000,111.500000,111.500000,135860700
2015-07-23,110.910004,112.180000,103.879997,107.080002,107.080002,45586000
2015-07-30,106.400002,129.289993,105.400002,123.709999,123.709999,97322900
2015-08-06,126.290001,128.850006,118.660004,120.510002,120.510002,80921300
2015-08-13,120.989998,126.750000,119.339996,122.059998,122.059998,52683200
2015-08-20,119.800003,121.449997,85.500000,110.129997,110.129997,195010800
2015-08-27,114.940002,119.349998,100.300003,105.440002,105.440002,150122300
2015-09-03,102.690002,104.169998,93.550003,99.180000,99.180000,132762800
2015-09-10,99.419998,104.480003,93.610001,104.080002,104.080002,104601100
2015-09-17,103.669998,107.500000,97.000000,98.070000,98.070000,92415700
2015-09-24,97.110001,105.449997,96.779999,103.260002,103.260002,91801200
2015-10-01,102.910004,112.279999,101.120003,108.099998,108.099998,93070800
2015-10-08,107.940002,115.830002,102.599998,110.230003,110.230003,128655200
2015-10-15,103.769997,104.879997,96.260002,97.959999,97.959999,130863600
2015-10-22,98.070000,106.209999,96.860001,105.800003,105.800003,68201900
2015-10-29,105.000000,114.279999,104.750000,114.050003,114.050003,67186600
2015-11-05,113.750000,115.680000,108.010002,112.860001,112.860001,63111700
2015-11-12,112.519997,121.000000,101.860001,120.629997,120.629997,112623700
2015-11-19,120.250000,126.199997,119.209999,124.160004,124.160004,82273200
2015-11-26,123.849998,131.350006,122.419998,128.929993,128.929993,57196000
2015-12-03,129.619995,133.270004,121.099998,124.199997,124.199997,106629200
2015-12-10,124.500000,125.209999,114.660004,122.639999,122.639999,73199700
2015-12-17,123.970001,126.349998,114.860001,118.160004,118.160004,65916300
2015-12-24,118.220001,119.599998,113.849998,116.709999,116.709999,28264500
2015-12-31,116.209999,117.910004,104.959999,117.680000,117.680000,80778100
2016-01-07,116.360001,122.180000,104.529999,106.559998,106.559998,113679300
2016-01-14,105.650002,110.139999,97.050003,107.739998,107.739998,132172100
